user_variable,user_description,matched_text,uid,relevance_score,llm_alignment,match
submitter_id,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.,UNIQUE COMMUNITY IDENTIFIER,242980,0.33884242,"['1. UNIQUE COMMUNITY IDENTIFIER - This variable is used to uniquely identify different communities within the dataset. It may not be directly relevant to the new variable as it focuses on community-level identification rather than individual node identification.', '2. UNIQUE SUBJECT ID - This variable is used to uniquely identify individual subjects within the dataset. While it is more closely related to the concept of individual identification, it may not be the best fit for harmonizing the new variable as it is specific to subjects rather than nodes.', '3. UNIQUE SUBJECT IDENTIFIER - Similar to the UNIQUE SUBJECT ID, this variable is used to uniquely identify individual subjects within the dataset. It may not be the best fit for harmonizing the new variable as it is specific to subjects rather than nodes.', '', 'SELECTED: UNIQUE SUBJECT ID', 'ALIGNMENT: To align the new variable with the selected existing variable (UNIQUE SUBJECT ID), you can consider using a similar format for the node identifier. Ensure that the new variable follows the same principles of uniqueness and individual identification as the UNIQUE SUBJECT ID. Additionally, you may need to establish a mapping or cross-reference system between the new variable and the UNIQUE SUBJECT ID to maintain consistency and coherence within the dataset.']",
submitter_id,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.,UNIQUE SUBJECT ID,242989,0.26683462,,
submitter_id,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.,UNIQUE SUBJECT IDENTIFIER,242990,0.26435837,,
participant_id,Unique identifier that can be used to retrieve more information for a participant.,PARTICIPANT IDENTIFICATION,177036,0.94407386,"['1. PARTICIPANT IDENTIFICATION - This variable likely serves as a unique identifier for each participant in the dataset.', '2. PARTICIPANT ID - This variable also likely serves as a unique identifier for each participant in the dataset.', '3. PARTICIPANT ID NUMBER - This variable may also serve as a unique identifier for each participant in the dataset.', '', 'SELECTED: PARTICIPANT ID', 'ALIGNMENT: To align the new variable with the selected existing variable, ensure that the unique identifier assigned to each participant is consistent and accurately recorded across all data entries. This will help maintain data integrity and facilitate data retrieval for each participant.']",
participant_id,Unique identifier that can be used to retrieve more information for a participant.,PARTICIPANT ID,177033,0.9413314,,
participant_id,Unique identifier that can be used to retrieve more information for a participant.,PARTICIPANT ID NUMBER,177035,0.8513359,,
consent_codes,"Data Use Restrictions that are used to indicate permissions/restrictions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.Based on the Data Use Ontology : see http://www.obofoundry.org/ontology/duo.htmlGRU - For general research use for any research purpose. Example of usage: This includes but is not limited to: health/medical/biomedical purposes, fundamental biology research, the study of population origins or ancestry, statistical methods and algorithms development, and social-sciences research.HMB - Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.DS-X - Use of the data must be related to [disease].NPU - Use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.IRB - Requestor must provide documentation of local IRB/REC approval.",PERMISSION FOR NON-PROFIT USE OF DATA,180823,0.9804313,"['1. PERMISSION FOR NON-PROFIT USE OF DATA - This variable indicates permission for non-profit organizations to use the data for non-commercial purposes. It aligns with the concept of NPU in the new variable, which specifies that the data can only be used by not-for-profit organizations.', '', '2. ANY PERMISSION FOR USE - NON-GENETIC DATA - This variable indicates general permission for use of non-genetic data. While it is relevant to the overall concept of data use permissions, it does not specifically align with the restrictions and permissions outlined in the new variable.', '', '3. PERMISSION FOR FOR-PROFIT USE OF DATA - This variable indicates permission for for-profit organizations to use the data. It is not aligned with the NPU restriction specified in the new variable.', '', 'SELECTED: PERMISSION FOR NON-PROFIT USE OF DATA', 'ALIGNMENT: To align the new variable with the existing variable ""Permission for Non-Profit Use of Data,"" ensure that the data being added to the repository is only accessible to not-for-profit organizations and is intended for non-commercial use. This alignment will help maintain consistency in data use permissions within the repository.']",
consent_codes,"Data Use Restrictions that are used to indicate permissions/restrictions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.Based on the Data Use Ontology : see http://www.obofoundry.org/ontology/duo.htmlGRU - For general research use for any research purpose. Example of usage: This includes but is not limited to: health/medical/biomedical purposes, fundamental biology research, the study of population origins or ancestry, statistical methods and algorithms development, and social-sciences research.HMB - Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.DS-X - Use of the data must be related to [disease].NPU - Use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.IRB - Requestor must provide documentation of local IRB/REC approval.",ANY PERMISSION FOR USE - NON-GENETIC DATA,21660,0.9795506,,
consent_codes,"Data Use Restrictions that are used to indicate permissions/restrictions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.Based on the Data Use Ontology : see http://www.obofoundry.org/ontology/duo.htmlGRU - For general research use for any research purpose. Example of usage: This includes but is not limited to: health/medical/biomedical purposes, fundamental biology research, the study of population origins or ancestry, statistical methods and algorithms development, and social-sciences research.HMB - Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.DS-X - Use of the data must be related to [disease].NPU - Use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.IRB - Requestor must provide documentation of local IRB/REC approval.",PERMISSION FOR FOR-PROFIT USE OF DATA,180821,0.97923523,,
amputation_type,"If amputated, the amputation type for leg, above the knee or below the knee.  ","13B2. LOWER EXTREMITY AMPUTATION (TOE, FOREFOOT, HEEL, BELOW THE KNEE)",4733,0.8856315,"['Existing Variables:', '1. AMPUTATION OF LOWER EXTREMITY - This variable captures any type of amputation in the lower extremity, which includes toe, forefoot, heel, below the knee, and above the knee.', '2. AMPUTATION - This variable is a general indicator of any type of amputation, not specific to the lower extremity.', '3. AMPUTATION OF LEG - This variable specifically focuses on amputations in the leg, which can include above the knee or below the knee.', '', 'SELECTED: AMPUTATION OF LOWER EXTREMITY', 'ALIGNMENT: To align the new variable ""If amputated, the amputation type for leg, above the knee or below the knee"" with the selected existing variable ""Amputation of Lower Extremity"", ensure that the new variable captures the specific details of the amputation type in the lower extremity, including whether it is above the knee or below the knee. This alignment will help maintain consistency and specificity in the data repository.']",
