"Acronym","Study Name","Background","Conclusions","Conditions","Objectives","Subjects"
"ACCESS","A Case Controlled Etiologic Study of Sarcoidosis (ACCESS)","Sarcoidosis is a chronic granulomatous disorder of unknown cause that is characterized by activation of T-lymphocytes and macrophages. For many years sarcoidosis was presumed to be an atypical manifestation of tuberculosis because of the similarity between the inflammatory responses of the two diseases. However, as culture techniques became more widely employed to diagnose tuberculosis and it became less common, it became clear that sarcoidosis was not simply a variation of tuberculosis. Data on the etiology of sarcoidosis have come from diverse sources: in clinical investigations, alveolitis has been found to precede granulomatous inflammation; in case control studies, familial aggregation has been identified; and in case reports, recurrence of granulomatous inflammation has been observed after lung transplantation. The cause may not prove to be a single, known exposure. Interactions of exposures with genetic dispositions could have important implications for our understanding of immune responses as well as the pathogenesis of sarcoidosis.","The initial presentation of sarcoidosis is related to sex, race and age, and it tends to remain stable over two years in the majority of patients. The etiology is probably multifactoral with both genetic and environmental factors contributing.","Sarcoidosis, Lung Diseases","To determine the etiology of sarcoidosis by establishing a case control, multi-center study. In addition to etiology, this study also sought to examine socioeconomic variables and the clinical course of patients with sarcoidosis, including quality of life.","736 patients with sarcoidosis enrolled within 6 months of diagnosis from 10 clinical centers in the U.S. Using the ACCESS sarcoidosis assessment system, organ involvement was determined for the whole group and for subgroups differentiated by sex, race, and age (<40 or 40 and older). Cases were matched with a control, and there was a two-year follow-up on cases. The ACCESS group proposed an instrument fo defining organ involvement in sarcoidosis. Biological specimens included DNA, plasma, and bronchoalveolar lavage samples were obtained. The data set includes 718 cases, 686 controls, and two-year follow-up data on 241 cases."
"ARIC","Atherosclerosis Risk in Communities Study (ARIC)","At the time of project initiation, the NHLBI had long recognized the need for longitudinal studies to identify the biochemical and physiological markers and specific environmental factors which place individuals at high risk for the major atherosclerosis diseases. The development of reliable ultrasound examination of peripheral arteries enhanced the expected benefit of such studies. Community surveillance planning began for ARIC in response to recommendations of the 1978 NHLBI Workshop on the Decline in CHD Mortality and has been extended in its purpose to evaluate the large geographic differences in U.S. mortality.","","Diabetes Mellitus, Heart Diseases, Atherosclerosis, Heart Failure, Heart Failure, Congestive, Cardiovascular Diseases, Coronary Disease, Coronary Heart Disease Risk Reduction","The objectives of ARIC are to: 1) investigate associations of factors, including those not previously measured in cohort studies, with prevalence of atherosclerosis and incidence of CHD, clinical stroke and other cardiovascular diseases; and 2) measure cardiovascular disease occurrence and trends and relate these to community levels of, and changes in, risk factors, medical care and atherosclerosis.","Black and white men and women, age 45-64 at entry; sample size: 15,792."
"BHS","Bogalusa Heart Study (BHS)","Lifestyle attributes such as tobacco use, physical inactivity, and a high-fat, high calorie diet, begin in childhood and are established risk factors for cardiovascular disease. While clinical cardiovascular disease occurs later in life, the characteristics of atherosclerosis, hypertension and diabetes can be present in childhood. The Bogalusa Heart Study began in 1973 as a long term study of the early natural history of cardiovascular disease in a semirural parish of Bogalusa, Louisiana. More than 16,000 individuals, many with multiple exams, have participated in the Bogalusa Heart Study. Subjects have ranged in age from birth to 38 years.","","Heart Diseases, Atherosclerosis, Cardiovascular Diseases, Hypertension, Coronary Disease","To investigate the early natural history of cardiovascular disease in a cohort of children and young adults in a biracial, semirural community.","The Bogalusa dataset includes 11,796 participants that attended at least one of seven cross-sectional pediatric exams and/or the 1995-96 adult examination. Subjects were ranged in age from 3 to 20 years at the pediatric exams and 20-37 at the time of the adult exam."
"CHS","Cardiovascular Health Study (CHS)","The study originated in 1988 from the recommendations of an NHLBI workshop on the management of CHD in the elderly. This is the most extensive study undertaken by the NHLBI to study CVD exclusively in an elderly population. Initially funded for six years, it was renewed for a second six year period in 1994 and recently was renewed for continued morbidity and mortality follow-up.","","Diabetes Mellitus, Heart Diseases, Heart Failure, Congestive, Cardiovascular Diseases, Cerebrovascular Accident, Hypertension, Coronary Disease","The Cardiovascular Health Study (CHS) is a study of risk factors for development and progression of CHD and stroke in people aged 65 years and older. The objectives of the Cardiovascular Health Study are to: 1) quantify associations of conventional and hypothesized risk factors with CHD and stroke; 2) assess the associations of non-invasive measures of subclinical disease with the incidence of CHD and stroke; 3) quantify the associations of risk factors with subclinical disease; 4) characterize the natural history of CHD and stroke, and identify factors associated with clinical course; and 5) describe the prevalence and distributions of risk factors, non-invasive measures of subclinical disease, and clinical CHD and stroke.","The 5,888 study participants were recruited from four U.S. communities and have undergone extensive clinic examinations for evaluation of markers of subclinical cardiovascular disease. The original cohort totaled 5,201 participants. A new cohort was recruited in 1992. The 687 participants in the new cohort are predominately African-American and were recruited at three of the four field centers."
"CARDIA","Coronary Artery Risk Development in Young Adults (CARDIA)","CARDIA is designed to increase understanding of contributors to changes in cardiovascular disease (CVD) risk factors during the critical years of transition from young adulthood to middle age. CARDIA was funded initially in 1983 for a five year cycle that included two rounds of examinations. Contract renewals have allowed for subsequent re-examinations.","","Diabetes Mellitus, Heart Diseases, Obesity, Cardiovascular Diseases, Hypertension, Coronary Disease","The original objectives of CARDIA were to document levels of risk factors for coronary artery disease and potential determinants of these risk factors in young adults; to study the interrelationships of risk factors and lifestyles and to document behavioral and environmental changes during the transition from young adulthood to middle age; to compare cross-sectional and longitudinal data on age-related trends in cardiovascular disease risk factors; and to compare levels and evolution of risk factors between men and women, blacks and whites, and in groups of differing socioeconomic status. Goals of the study have evolved to emphasize understanding determinants of left ventricular mass, emerging obesity and hypertension, and sequelae of hypertension in pregnancy.","Black and white men and women; ages 18-30 years at entry with a range of attained education; sample size: 5,115."
"FHS-Cohort","Framingham Heart Study-Cohort (FHS-Cohort)","The Framingham Study began in 1948 under the U.S. Public Health Service and was transferred under the direct operations of the new National Heart Institute, NIH, in 1949. Participants were sampled from Framingham, Massachusetts, including both men and women. This was the first prospective study of cardiovascular disease and identified the concept of risk factors and their joint effects. The study has continued to examine participants every two years and is currently supported by a contract to Boston University from the NHLBI, and from many grants for specialized studies.","","Arterial Occlusive Diseases, Heart Diseases, Atherosclerosis, Heart Failure, Heart Failure, Congestive, Peripheral Vascular Diseases, Cardiovascular Diseases, Cerebrovascular Accident, Hypertension, Coronary Disease","The objectives of the Framingham Study are to study the incidence and prevalence of cardiovascular disease (CVD) and its risk factors, trends in CVD incidence and its risk factors over time, and familial patterns of CVD and risk factors. Other important objectives include the estimation of incidence rates of disease and description of the natural history of cardiovascular disease, including the sequence of clinical signs and systems that precede the clinically recognizable syndrome and the consequences and course of clinically manifest disease.","At entry to the study in 1948-1952, the study recruited 5,209 men and women, ages 28-62 years, living in Framingham, MA. As of February 28, 1999, there are 993 surviving participants."
"FHS-OS","Framingham Heart Study (FHS) Offspring (OS) and OMNI 1 Cohorts","With the aging of the Framingham cohort and with interest in familiar aggregation and heritability, a new cohort consisting of the offspring of the original cohort was sampled. Spouses of offspring were also included. This new sample, begun in 1971, constituted a second generation of participants, permitted new assessment of risk factors and outcomes, and provided a resource for the genetic analyses which were yet to come. The Offspring participants have had repeated examinations, though at longer intervals than the cohort.","","Arterial Occlusive Diseases, Heart Diseases, Atherosclerosis, Heart Failure, Heart Failure, Congestive, Peripheral Vascular Diseases, Cardiovascular Diseases, Cerebrovascular Accident, Hypertension, Coronary Disease","The objectives of the Framingham Offspring Study are to study the incidence and prevalence of cardiovascular disease (CVD) and its risk factors, trends in CVD incidence and its risk factors over time, family patterns of CVD and risk factors. Less prominent but important objectives include the estimation of incidence rates of disease and description of the natural history of cardiovascular disease, including the sequence of clinical signs and systems that precede the clinically recognizable syndrome, and the consequences and course of clinically manifest disease.","5,124 men and women, ages 5-70 years at entry consisting of offspring of the original Framingham cohort (and spouses of the offspring) participated in the study.

In 1994, the Omni Cohort 1 enrolled 507 men and women of African-American, Hispanic, Asian, Indian, Pacific Islander and Native American origins, who at the time of enrollment were residents of Framingham and the surrounding towns."
"COBLT","Cord Blood Transplantation Study (COBLT)","Compared to other stem cell sources, cord blood is easier and safer to procure, has no donor attrition, a limitless supply, reduced viral transmission, less acute and chronic graft-versus-host-disease, is rich in hematopoietic progenitor cells, and immaturity of T-cell-mediated immunity. However, cord blood also has delayed neutrophil and platelet engraftment, a prolonged immune reconstitution, uncertain graft-versus-tumor activity, and cell doses from single cord blood units are a limiting factor for larger recipients.","","Leukemia, Anemia, Aplastic, Fanconi Anemia, Myelodysplastic Syndromes, Neoplasms, Hematologic Diseases, Hematopoietic Stem Cell Transplantation, Severe Combined Immunodeficiency","The transplant center protocol was a phase II multicenter trial to determine if banked unrelated donor umbilical cord blood could serve as an adequate hematopoietic stem cell source for adults and children with malignancies, immune deficiencies, inherited marrow failure, or inborn errors of metabolism. The largest strata studied pediatric patients with various leukemias. Each participating transplant center used the same patient selection criteria, preparative regimen for patients in the same class, initial graft-versus-host disease (GvHD) prophylaxis, indications for the use of cytokines, definitions for events and complications, and methods for evaluating immune reconstitution. The main study evaluated the impact of HLA 3/6 and 4/6 matching on outcome. The primary endpoint was 180-day disease free survival after UCBU transplantation. Secondary endpoints included engraftment, the frequency and severity of acute and chronic GvHD with stratification by degree of HLA match, overall survival, and immunologic reconstitution. Search activity was initiated in November 1998 and the first UCBU transplant was in March 1999. Enrollment in the COBLT transplant protocol ended December 31, 2003 with the accrual of 364 transplant recipients.",""
"HHP","Honolulu Heart Program (HHP)","The Honolulu Heart Program was initiated in 1965 by the NHLBI as a prospective study of environmental and biological causes of cardiovascular disease among Japanese Americans living in Hawaii. This population was known to have low incidence of coronary heart disease and higher incidence of stroke. The study provided opportunities to investigate relationships among disease frequencies, pathologic findings, and disease predictors in the cohort and to compare the findings in this population with those in other populations, especially cohorts of Japanese men resident in Japan or the U.S.","","Dementia, Emphysema, Aortic Aneurysm, Abdominal, Lung Diseases, Obstructive, Myocardial Infarction, Asthma, Heart Diseases, Heart Failure, Heart Failure, Congestive, Bronchitis, Cardiovascular Diseases, Cerebrovascular Accident, Chronic Obstructive Pulmonary Disease, Hypertension, Coronary Disease","The initial objectives of the Honolulu Heart Program were to: 1) estimate morbidity and mortality from coronary heart disease and stroke among Japanese men in Honolulu; 2) compare morbidity and mortality from coronary heart disease and stroke among Japanese men in Japan, Honolulu, and San Francisco; 3) investigate relationships among risk factors, coronary heart disease, and stroke in Japanese men in Honolulu; 4) compare distributions of risk factors among men in Japan, Honolulu, and San Francisco, and relate similarities and differences in risk factors to the occurrence of disease in these areas and in other populations, including Framingham and Puerto Rico; 5) conduct an autopsy study, and to relate pathological findings to morbidity and mortality data; and 6) investigate relationships between risk factors and pathological evidence of atherosclerosis and its complications.","American men of Japanese ancestry born in 1900-1919 and living on the island of Oahu in 1965; age at entry 28-62 years; sample size: 8,006."
"LRC-PS","Lipid Research Clinics (LRC) Prevalence Study (PS)","An association between serum cholesterol and coronary heart disease is well established. A system was developed for classifying hyperlipoproteinemias into six types of patterns, as a basis for characterizing lipoprotein disorders. The Lipid Research Clinics was thus created to improve the detection of and clinical management of hyperlipoproteinemias. The three primary abjectives were: 1) to acquire data on the prevalence of different types of hyperlipoproteinemia in various age and ethnic groups, with special emphasis on the nature and frequency of genetic forms; 2) to collect reliable data on the prevalence and incidence of atherosclerosis in different types of hyperlipoproteinemia; and 3) to conduct an intervention trial to determine if lowering plasma lipid levels would reduce the risk of CHD.","Data from this study confirm findings from earlier studies in developed countries, showing age-related differences in plasma lipid levels. However, for overall distributions, the LRC data showed slightly lower cholesterol and markedly higher trigylceride values than those previously reported for North America. Some variation in plasma lipid values was evident among the clinic populations.

The large number of participants within most subgroups permitted a variety of analytic and comparative studies. For example, data from the large pediatric population revealed a drop in plasma cholesterol levels in adolescent males and females. Males aged 20-50 years had higher cholesterol levels than females in the same age group, and higher trigylceride levels bewteen ages 20-70 years. Numbers were also sigfficient for meaningful comparisons between lipid distributions of females who were taking sex hormones and those who were not; in females taking sex hormones, cholesterol and triglyceride levels were higher for subjects younger than 45 years, but slightly lower after age 45, than lipid levels in females not taking hormones (Circulation 1979; 60(2):427-439).","Myocardial Ischemia, Heart Diseases, Coronary Disease, Cardiovascular Diseases","The LRC Program began in 1971 under the sponsorship of the National Heart, Lung, and Blood Institute, National Institutes of Health. Part of this program was the Lipid Research Clinics Prevalence Study, a standardized series of cross-sectional surveys of various North American populations designed to determine the prevalence of dyslipidemias and to describe the distributions of lipids and lipoproteins in major ethnic and social groups. In addition to contributing to the aggregate analysis, each independent population-based study was designed with capabilities for separate analyses of lipid and lipoprotein distributions. The participating populations were not selected to be a probability sample representative of the North American population per se, but by virtue of their size and economic and geographical diversity, they provide a useful cross-sectional group.

The Family Study was the third phase of the Lipids Research Clinics North American Population Studies. The Family Study was designed to obtain knowledge of the distribution of lipids and lipoproteins among family members and of the association of familial and genetic attributes to dyslipoproteinemias.","The populations of the study fall into three categories: occupational groups, household or residential groups, and school children and their parents. The occupational groups were ascertained through their employers; the household groups typically were ascertained through canvassing of residential areas; and children and their parents were screened by determining the children in school and contacting their parents."
